Payment,Product line,Invoice ID,Branch,City,Customer type,Gender,Unit price,Quantity,Tax 5%,Total,date,Time,cogs,gross income,Rating,day_of_week,hour,profit_margin,rush_hour,spending_category,rating_sentiment,avg_product_rating,total_revenue,avg_transaction,num_transactions
Cash,Home and lifestyle,526868552,c,naypyitaw,Member,female,2182,10,1091,22911,20190107,1736,2182,1091,71,2,17,00476190468261872,yes,medium,positive,68.375,3.10603461E8,902917.0377906977,344
Ewallet,Fashion accessories,339968318,b,mandalay,Member,male,8131,7,284585,5976285,20190301,1949,56917,284585,63,6,19,0047619049138823345,no,high,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Cash,Electronic accessories,711311234,b,mandalay,Normal,female,9564,4,19128,401688,20190316,1851,38256,19128,79,7,18,00476190496540478,yes,medium,positive,69.24705882352941,3.10603461E8,902917.0377906977,344
Cash,Home and lifestyle,760541821,b,mandalay,Normal,male,1359,9,61155,1284255,20190315,1026,12231,61155,58,6,10,004761904496694229,no,medium,neutral,68.375,3.10603461E8,902917.0377906977,344
Credit card,Fashion accessories,491383499,a,yangon,Member,male,5545,1,27725,582225,20190226,1746,5545,27725,49,3,17,004761904839903925,yes,low,neutral,70.29213483146067,2.70194988E8,868794.1736334405,311
Cash,Sports and travel,173572300,c,naypyitaw,Member,male,7288,2,7288,153048,20190313,1251,14576,7288,61,4,12,004761904702559901,yes,medium,neutral,69.16265060240964,3.10603461E8,902917.0377906977,344
Cash,Home and lifestyle,406467107,a,yangon,Normal,female,9652,6,28956,608076,20190111,1152,57912,28956,45,6,11,0047619047469681215,no,high,neutral,68.375,3.10603461E8,902917.0377906977,344
Cash,Food and beverages,221255073,a,yangon,Normal,female,7466,4,14932,313572,20190304,1039,29864,14932,85,2,10,004761904950177258,no,medium,positive,71.13218390804597,3.10603461E8,902917.0377906977,344
Cash,Food and beverages,174363675,c,naypyitaw,Member,male,9937,2,9937,208677,20190214,1729,19874,9937,52,5,17,0047619048489542445,yes,medium,neutral,71.13218390804597,3.10603461E8,902917.0377906977,344
Ewallet,Electronic accessories,453636187,b,mandalay,Normal,male,275,3,4125,86625,20190301,1540,825,4125,65,6,15,0047619047619047616,no,low,neutral,69.24705882352941,2.96273397E8,858763.4695652174,345
Ewallet,Fashion accessories,616242851,b,mandalay,Member,female,1787,4,3574,75054,20190322,1442,7148,3574,65,6,14,004761904550129616,no,low,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Ewallet,Fashion accessories,659658956,b,mandalay,Member,male,5136,1,2568,53928,20190116,1526,5136,2568,52,4,15,004761904782957398,no,low,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Credit card,Health and beauty,238490436,a,yangon,Normal,male,3246,8,12984,272664,20190327,1348,25968,12984,49,4,13,004761904811870723,yes,medium,neutral,70.03289473684211,2.70194988E8,868794.1736334405,311
Ewallet,Health and beauty,824883614,c,naypyitaw,Normal,male,3431,8,13724,288204,20190125,1500,27448,13724,57,6,15,004761904588574873,no,medium,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Credit card,Fashion accessories,662475456,c,naypyitaw,Member,male,3519,10,17595,369495,20190317,1906,3519,17595,84,1,19,004761904638999003,no,medium,positive,70.29213483146067,2.70194988E8,868794.1736334405,311
Ewallet,Food and beverages,662722873,a,yangon,Normal,female,4094,5,10235,214935,20190106,1358,2047,10235,99,1,13,0047619046562610484,yes,medium,positive,71.13218390804597,2.96273397E8,858763.4695652174,345
Credit card,Health and beauty,440595691,c,naypyitaw,Member,female,3715,7,130025,2730525,20190208,1312,26005,130025,77,6,13,0047619047785363855,yes,medium,positive,70.03289473684211,2.70194988E8,868794.1736334405,311
Ewallet,Fashion accessories,690016631,b,mandalay,Normal,male,1749,10,8745,183645,20190222,1835,1749,8745,66,6,18,004761904588803707,yes,medium,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Ewallet,Food and beverages,183566882,c,naypyitaw,Member,female,9942,4,19884,417564,20190206,1042,39768,19884,75,4,10,004761905001170453,no,medium,positive,71.13218390804597,2.96273397E8,858763.4695652174,345
Ewallet,Home and lifestyle,280355823,b,mandalay,Member,female,8672,1,4336,91056,20190117,1845,8672,4336,79,5,18,004761904736967875,yes,low,positive,68.375,2.96273397E8,858763.4695652174,345
Ewallet,Fashion accessories,105106182,a,yangon,Member,male,2148,2,2148,45108,20190227,1222,4296,2148,66,4,12,004761904585721254,yes,low,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Credit card,Health and beauty,400804065,c,naypyitaw,Member,male,6855,4,1371,28791,20190215,2021,2742,1371,92,6,20,004761904714584701,no,medium,positive,70.03289473684211,2.70194988E8,868794.1736334405,311
Cash,Home and lifestyle,777827220,b,mandalay,Member,male,3012,8,12048,253008,20190303,1301,24096,12048,77,1,13,0047619049772958805,yes,medium,positive,68.375,3.10603461E8,902917.0377906977,344
Ewallet,Home and lifestyle,242556721,b,mandalay,Normal,male,1616,2,1616,33936,20190307,1149,3232,1616,65,5,11,004761904812087159,no,low,neutral,68.375,2.96273397E8,858763.4695652174,345
Credit card,Sports and travel,606804905,c,naypyitaw,Member,female,1915,6,5745,120645,20190129,1001,1149,5745,68,3,10,004761904799546657,no,medium,neutral,69.16265060240964,2.70194988E8,868794.1736334405,311
Ewallet,Home and lifestyle,263875680,c,naypyitaw,Member,female,2853,10,14265,299565,20190318,1738,2853,14265,78,2,17,004761904837703107,yes,medium,positive,68.375,2.96273397E8,858763.4695652174,345
Ewallet,Fashion accessories,135848019,a,yangon,Normal,female,7793,9,350685,7364385,20190227,1610,70137,350685,76,4,16,0047619049839016166,no,high,positive,70.29213483146067,2.96273397E8,858763.4695652174,345
Credit card,Sports and travel,718579773,c,naypyitaw,Normal,female,4933,10,24665,517965,20190203,1640,4933,24665,94,1,16,004761904691764022,no,high,positive,69.16265060240964,2.70194988E8,868794.1736334405,311
Cash,Food and beverages,548483156,a,yangon,Member,female,8334,2,8334,175014,20190319,1337,16668,8334,76,3,13,004761904346732849,yes,medium,positive,71.13218390804597,3.10603461E8,902917.0377906977,344
Ewallet,Fashion accessories,781848059,c,naypyitaw,Normal,male,6074,7,21259,446439,20190118,1623,42518,21259,50,6,16,00476190498569511,no,medium,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Credit card,Sports and travel,105311824,a,yangon,Member,male,6952,7,24332,510972,20190201,1510,48664,24332,85,6,15,0047619050463074394,no,high,positive,69.16265060240964,2.70194988E8,868794.1736334405,311
Ewallet,Fashion accessories,831640259,b,mandalay,Normal,female,3975,5,99375,2086875,20190222,1043,19875,99375,96,6,10,0047619047619047616,no,medium,positive,70.29213483146067,2.96273397E8,858763.4695652174,345
Cash,Food and beverages,274055470,a,yangon,Member,female,7347,4,14694,308574,20190223,1830,29388,14694,60,7,18,0047619047619047616,yes,medium,neutral,71.13218390804597,3.10603461E8,902917.0377906977,344
Ewallet,Home and lifestyle,728887867,c,naypyitaw,Member,female,7553,4,15106,317226,20190319,1552,30212,15106,83,3,15,0047619045471695536,no,medium,positive,68.375,2.96273397E8,858763.4695652174,345
Cash,Home and lifestyle,886546089,a,yangon,Normal,female,1143,6,3429,72009,20190115,1724,6858,3429,77,3,17,004761904446575699,yes,low,positive,68.375,3.10603461E8,902917.0377906977,344
Ewallet,Home and lifestyle,645441170,a,yangon,Member,male,5807,9,261315,5487615,20190119,2007,52263,261315,43,7,20,0047619050267225516,no,high,neutral,68.375,2.96273397E8,858763.4695652174,345
Ewallet,Health and beauty,157135295,a,yangon,Member,male,5194,10,2597,54537,20190309,1824,5194,2597,65,7,18,004761904678634573,yes,high,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Fashion accessories,821073596,c,naypyitaw,Normal,female,1645,4,329,6909,20190307,1453,658,329,56,5,14,0047619049590956655,no,low,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Cash,Electronic accessories,396902219,b,mandalay,Normal,female,1496,8,5984,125664,20190223,1229,11968,5984,86,7,12,0047619048703202084,yes,medium,positive,69.24705882352941,3.10603461E8,902917.0377906977,344
Ewallet,Electronic accessories,785960615,b,mandalay,Member,female,3574,8,14296,300216,20190217,1528,28592,14296,49,1,15,004761904550129616,no,medium,neutral,69.24705882352941,2.96273397E8,858763.4695652174,345
Ewallet,Electronic accessories,366436862,b,mandalay,Normal,male,5289,4,10578,222138,20190325,1632,21156,10578,67,2,16,004761904782348388,no,medium,neutral,69.24705882352941,2.96273397E8,858763.4695652174,345
Ewallet,Fashion accessories,137748729,c,naypyitaw,Normal,female,1219,8,4876,102396,20190313,1247,9752,4876,68,4,12,004761904517977425,yes,medium,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Cash,Health and beauty,809461866,a,yangon,Normal,male,5815,4,1163,24423,20190123,1744,2326,1163,84,4,17,004761904892065448,yes,medium,positive,70.03289473684211,3.10603461E8,902917.0377906977,344
Cash,Fashion accessories,848422560,a,yangon,Normal,female,8191,2,8191,172011,20190305,1743,16382,8191,78,3,17,004761904709102253,yes,medium,positive,70.29213483146067,3.10603461E8,902917.0377906977,344
Credit card,Sports and travel,449272918,b,mandalay,Member,female,3912,1,1956,41076,20190326,1102,3912,1956,96,3,11,004761904665165961,no,low,positive,69.16265060240964,2.70194988E8,868794.1736334405,311
Credit card,Fashion accessories,286626248,b,mandalay,Normal,male,3921,4,7842,164682,20190116,2003,15684,7842,90,4,20,0047619045688712634,no,medium,positive,70.29213483146067,2.70194988E8,868794.1736334405,311
Ewallet,Home and lifestyle,460354390,a,yangon,Normal,male,3068,3,4602,96642,20190122,1100,9204,4602,91,3,11,004761905090841916,no,low,positive,68.375,2.96273397E8,858763.4695652174,345
Cash,Home and lifestyle,830582383,b,mandalay,Normal,male,3175,4,635,13335,20190208,1526,1270,635,86,6,15,004761904472432685,no,medium,positive,68.375,3.10603461E8,902917.0377906977,344
Ewallet,Electronic accessories,585900249,a,yangon,Member,male,7326,1,3663,76923,20190127,1808,7326,3663,97,1,18,004761905116127021,yes,low,positive,69.24705882352941,2.96273397E8,858763.4695652174,345
Credit card,Health and beauty,370417321,b,mandalay,Member,male,5669,9,255105,5357205,20190227,1724,51021,255105,84,4,17,0047619045754106214,yes,high,positive,70.03289473684211,2.70194988E8,868794.1736334405,311
Ewallet,Sports and travel,423572993,b,mandalay,Normal,male,9339,6,28017,588357,20190327,1918,56034,28017,100,4,19,0047619048390909996,no,high,positive,69.16265060240964,2.96273397E8,858763.4695652174,345
Cash,Fashion accessories,130988941,c,naypyitaw,Normal,male,6426,7,22491,472311,20190209,1000,44982,22491,57,7,10,004761904550373087,no,medium,neutral,70.29213483146067,3.10603461E8,902917.0377906977,344
Credit card,Electronic accessories,799711548,a,yangon,Member,male,7772,4,15544,326424,20190107,1611,31088,15544,88,2,16,004761904497571207,no,medium,positive,69.24705882352941,2.70194988E8,868794.1736334405,311
Ewallet,Health and beauty,648943045,c,naypyitaw,Normal,male,5895,10,29475,618975,20190207,1427,5895,29475,81,5,14,004761905011356548,no,high,positive,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Food and beverages,712390363,a,yangon,Member,male,4166,6,12498,262458,20190102,1524,24996,12498,56,4,15,0047619046753898504,no,medium,neutral,71.13218390804597,2.96273397E8,858763.4695652174,345
Cash,Home and lifestyle,200406154,b,mandalay,Member,male,6591,6,19773,415233,20190209,1145,39546,19773,57,7,11,004761904915019489,no,medium,neutral,68.375,3.10603461E8,902917.0377906977,344
Ewallet,Electronic accessories,594344444,a,yangon,Normal,male,9716,1,4858,102018,20190308,2038,9716,4858,72,6,20,00476190467287525,no,medium,positive,69.24705882352941,2.96273397E8,858763.4695652174,345
Credit card,Food and beverages,894415205,c,naypyitaw,Normal,female,4318,8,17272,362712,20190119,1939,34544,17272,83,7,19,004761904511496383,no,medium,positive,71.13218390804597,2.70194988E8,868794.1736334405,311
Cash,Health and beauty,418025978,b,mandalay,Normal,female,8409,9,378405,7946505,20190211,1054,75681,378405,80,2,10,004761904670467206,no,high,positive,70.03289473684211,3.10603461E8,902917.0377906977,344
Ewallet,Sports and travel,257731380,c,naypyitaw,Member,male,8293,4,16586,348306,20190120,1651,33172,16586,96,1,16,004761904892287422,no,medium,positive,69.16265060240964,2.96273397E8,858763.4695652174,345
Cash,Home and lifestyle,451285717,c,naypyitaw,Member,female,8317,6,24951,523971,20190320,1123,49902,24951,73,4,11,004761904727236384,no,high,positive,68.375,3.10603461E8,902917.0377906977,344
Ewallet,Food and beverages,283265248,c,naypyitaw,Member,female,9852,10,4926,103446,20190130,2023,9852,4926,45,4,20,0047619047794648664,no,high,neutral,71.13218390804597,2.96273397E8,858763.4695652174,345
Ewallet,Home and lifestyle,218599410,a,yangon,Member,female,7242,3,10863,228123,20190329,1654,21726,10863,82,6,16,004761904702182951,no,medium,positive,68.375,2.96273397E8,858763.4695652174,345
Cash,Home and lifestyle,742045161,a,yangon,Member,male,7278,10,3639,76419,20190203,1724,7278,3639,73,1,17,004761904666822518,yes,high,positive,68.375,3.10603461E8,902917.0377906977,344
Ewallet,Electronic accessories,636983364,b,mandalay,Member,female,2626,3,3939,82719,20190302,1236,7878,3939,63,7,12,004761904528578063,yes,low,neutral,69.24705882352941,2.96273397E8,858763.4695652174,345
Cash,Home and lifestyle,554538700,c,naypyitaw,Member,male,5611,2,5611,117831,20190202,1011,11222,5611,63,7,10,0047619047619047616,no,medium,neutral,68.375,3.10603461E8,902917.0377906977,344
Credit card,Fashion accessories,608963517,b,mandalay,Member,female,9154,4,18308,384468,20190323,1920,36616,18308,48,7,19,004761905069014761,no,medium,neutral,70.29213483146067,2.70194988E8,868794.1736334405,311
Credit card,Health and beauty,211309270,c,naypyitaw,Normal,male,1741,5,43525,914025,20190128,1516,8705,43525,49,2,15,0047619049109588835,no,low,neutral,70.03289473684211,2.70194988E8,868794.1736334405,311
Ewallet,Health and beauty,433756987,b,mandalay,Member,female,5597,7,195895,4113795,20190305,1906,39179,195895,89,3,19,004761905026845903,no,medium,positive,70.03289473684211,2.96273397E8,858763.4695652174,345
Credit card,Fashion accessories,453127053,c,naypyitaw,Normal,male,4574,3,6861,144081,20190310,1738,13722,6861,65,1,17,0047619050140577296,yes,medium,neutral,70.29213483146067,2.70194988E8,868794.1736334405,311
Cash,Health and beauty,291215991,b,mandalay,Member,male,6129,5,153225,3217725,20190329,1428,30645,153225,70,6,14,0047619049594924655,no,medium,neutral,70.03289473684211,3.10603461E8,902917.0377906977,344
Ewallet,Health and beauty,101814070,c,naypyitaw,Member,female,6282,2,6282,131922,20190117,1236,12564,6282,49,5,12,004761904916813561,yes,medium,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Sports and travel,730509884,c,naypyitaw,Normal,female,8306,7,29071,610491,20190305,1431,58142,29071,40,3,14,0047619044048434936,no,high,negative,69.16265060240964,2.96273397E8,858763.4695652174,345
Ewallet,Health and beauty,726272396,a,yangon,Normal,female,775,5,19375,406875,20190124,2036,3875,19375,43,5,20,0047619047619047616,no,medium,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Credit card,Food and beverages,698985964,a,yangon,Normal,female,8121,10,40605,852705,20190117,1301,8121,40605,63,5,13,0047619046127833506,yes,high,neutral,71.13218390804597,2.70194988E8,868794.1736334405,311
Ewallet,Health and beauty,750678428,a,yangon,Member,female,7469,7,261415,5489715,20190105,1308,52283,261415,91,7,13,0047619048777182205,yes,high,positive,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Health and beauty,766857061,b,mandalay,Normal,male,8787,10,43935,922635,20190329,1025,8787,43935,51,6,10,004761904860346859,no,high,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Cash,Health and beauty,565173836,a,yangon,Member,female,4767,4,9534,200214,20190312,1421,19068,9534,91,3,14,0047619048526338054,no,medium,positive,70.03289473684211,3.10603461E8,902917.0377906977,344
Ewallet,Fashion accessories,587037455,c,naypyitaw,Member,female,9779,7,342265,7187565,20190216,1730,68453,342265,49,7,17,004761905166274828,yes,high,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Cash,Food and beverages,592461692,c,naypyitaw,Member,female,3677,7,128695,2702595,20190111,2010,25739,128695,74,6,20,004761904980350306,no,medium,positive,71.13218390804597,3.10603461E8,902917.0377906977,344
Cash,Electronic accessories,399465918,c,naypyitaw,Normal,female,8598,8,34392,722232,20190228,1901,68784,34392,82,5,19,0047619045606926834,no,high,positive,69.24705882352941,3.10603461E8,902917.0377906977,344
Credit card,Electronic accessories,263125321,a,yangon,Member,male,926,7,3241,68061,20190227,1252,6482,3241,93,4,12,004761904841973636,yes,high,positive,69.24705882352941,2.70194988E8,868794.1736334405,311
Cash,Health and beauty,636170325,b,mandalay,Normal,male,6257,4,12514,262794,20190225,1837,25028,12514,95,2,18,0047619046236578866,yes,medium,positive,70.03289473684211,3.10603461E8,902917.0377906977,344
Credit card,Electronic accessories,380944661,c,naypyitaw,Member,male,6594,4,13188,276948,20190207,1305,26376,13188,69,5,13,0047619046963140184,yes,medium,neutral,69.24705882352941,2.70194988E8,868794.1736334405,311
Ewallet,Health and beauty,372948041,a,yangon,Normal,male,1526,6,4578,96138,20190215,1803,9156,4578,98,6,18,004761904809142132,yes,low,positive,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Home and lifestyle,730709830,c,naypyitaw,Normal,female,7011,6,21033,441693,20190314,1754,42066,21033,52,5,17,004761905049789282,yes,medium,neutral,68.375,2.96273397E8,858763.4695652174,345
Cash,Electronic accessories,745713520,a,yangon,Member,female,2522,7,8827,185367,20190204,1023,17654,8827,82,2,10,00476190446791676,no,medium,positive,69.24705882352941,3.10603461E8,902917.0377906977,344
Cash,Sports and travel,326712155,c,naypyitaw,Normal,female,7395,4,1479,31059,20190203,1002,2958,1479,61,1,10,0047619048057694034,no,medium,neutral,69.16265060240964,3.10603461E8,902917.0377906977,344
Credit card,Sports and travel,767974650,b,mandalay,Member,female,6483,2,6483,136143,20190108,1159,12966,6483,80,3,11,004761904428335934,no,medium,positive,69.16265060240964,2.70194988E8,868794.1736334405,311
Credit card,Home and lifestyle,487796868,b,mandalay,Member,female,1229,9,55305,1161405,20190326,1928,11061,55305,80,3,19,004761904585946524,no,medium,positive,68.375,2.70194988E8,868794.1736334405,311
Cash,Health and beauty,333232632,a,yangon,Member,male,1008,7,3528,74088,20190328,2014,7056,3528,42,5,20,004761905083709356,no,low,neutral,70.03289473684211,3.10603461E8,902917.0377906977,344
Credit card,Home and lifestyle,631413108,a,yangon,Normal,male,4633,7,162155,3405255,20190303,1323,32431,162155,74,1,13,004761904548526035,yes,medium,positive,68.375,2.70194988E8,868794.1736334405,311
Credit card,Sports and travel,586250848,a,yangon,Normal,female,1234,7,4319,90699,20190304,1119,8638,4319,67,2,11,004761904636729556,no,low,neutral,69.16265060240964,2.70194988E8,868794.1736334405,311
Ewallet,Home and lifestyle,583414548,c,naypyitaw,Normal,male,1667,7,58345,1225245,20190207,1136,11669,58345,74,5,11,004761904706308048,no,medium,positive,68.375,2.96273397E8,858763.4695652174,345
Credit card,Electronic accessories,421959805,a,yangon,Normal,female,2896,1,1448,30408,20190207,1018,2896,1448,62,5,10,004761904463213225,no,low,neutral,69.24705882352941,2.70194988E8,868794.1736334405,311
Cash,Electronic accessories,257607754,a,yangon,Normal,female,5023,4,10046,210966,20190108,1712,20092,10046,90,3,17,0047619044605373057,yes,medium,positive,69.24705882352941,3.10603461E8,902917.0377906977,344
Cash,Food and beverages,571940759,b,mandalay,Member,female,746,10,373,7833,20190108,2055,7460,373,95,3,20,0047619047387141254,no,high,positive,71.13218390804597,3.10603461E8,902917.0377906977,344
Credit card,Home and lifestyle,136086195,a,yangon,Normal,female,6996,8,27984,587664,20190215,1701,55968,27984,64,6,17,0047619046228056974,yes,high,neutral,68.375,2.70194988E8,868794.1736334405,311
Ewallet,Sports and travel,880350356,a,yangon,Member,female,752,3,1128,23688,20190205,1151,2256,1128,48,3,11,004761904551020061,no,medium,neutral,69.16265060240964,2.96273397E8,858763.4695652174,345
Cash,Home and lifestyle,748452862,a,yangon,Member,female,2831,4,5662,118902,20190307,1835,11324,5662,82,5,18,0047619048955826804,yes,medium,positive,68.375,3.10603461E8,902917.0377906977,344
Credit card,Health and beauty,397258725,a,yangon,Member,female,3962,9,17829,374409,20190113,1754,35658,17829,68,1,17,004761904931714484,yes,medium,neutral,70.03289473684211,2.70194988E8,868794.1736334405,311
Cash,Food and beverages,649113678,c,naypyitaw,Normal,female,2293,9,103185,2166885,20190226,2026,20637,103185,55,3,20,0047619044056227994,no,medium,neutral,71.13218390804597,3.10603461E8,902917.0377906977,344
Ewallet,Health and beauty,458108612,c,naypyitaw,Normal,male,6408,7,22428,470988,20190120,1227,44856,22428,76,1,12,004761904588347236,yes,medium,positive,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Health and beauty,433087822,c,naypyitaw,Normal,female,7889,7,276115,5798415,20190105,1948,55223,276115,75,7,19,004761904793232677,no,high,positive,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Food and beverages,407638975,a,yangon,Normal,male,7388,6,22164,465444,20190323,1916,44328,22164,44,7,19,004761904664335424,no,medium,neutral,71.13218390804597,2.96273397E8,858763.4695652174,345
Credit card,Home and lifestyle,750579686,c,naypyitaw,Normal,female,4538,4,9076,190596,20190108,1348,18152,9076,87,3,13,0047619050478272223,yes,medium,positive,68.375,2.70194988E8,868794.1736334405,311
Ewallet,Electronic accessories,134544720,b,mandalay,Normal,female,4242,8,16968,356328,20190130,1358,33936,16968,57,4,13,004761904838373177,yes,medium,neutral,69.24705882352941,2.96273397E8,858763.4695652174,345
Cash,Electronic accessories,189405216,c,naypyitaw,Normal,male,9637,7,337295,7083195,20190109,1140,67459,337295,60,4,11,004761904608031619,no,high,neutral,69.24705882352941,3.10603461E8,902917.0377906977,344
Credit card,Home and lifestyle,670796321,b,mandalay,Member,female,9459,7,331065,6952365,20190117,1527,66213,331065,49,5,15,004761904500623532,no,high,neutral,68.375,2.70194988E8,868794.1736334405,311
Ewallet,Sports and travel,707327409,b,mandalay,Member,female,9554,4,19108,401268,20190226,1158,38216,19108,45,3,11,004761904648730868,no,medium,neutral,69.16265060240964,2.96273397E8,858763.4695652174,345
Ewallet,Sports and travel,271778740,c,naypyitaw,Member,female,2922,6,8766,184086,20190101,1140,17532,8766,50,3,11,004761904687896315,no,medium,neutral,69.16265060240964,2.96273397E8,858763.4695652174,345
Ewallet,Home and lifestyle,641627288,b,mandalay,Normal,male,9992,6,29976,629496,20190324,1333,59952,29976,71,1,13,004761904949473814,yes,high,positive,68.375,2.96273397E8,858763.4695652174,345
Cash,Electronic accessories,364342972,c,naypyitaw,Member,male,9682,3,14523,304983,20190330,2037,29046,14523,67,7,20,0047619046576722515,no,medium,neutral,69.24705882352941,3.10603461E8,902917.0377906977,344
Credit card,Health and beauty,430534718,b,mandalay,Member,male,7537,8,30148,633108,20190128,1546,60296,30148,84,2,15,004761905091864418,no,high,positive,70.03289473684211,2.70194988E8,868794.1736334405,311
Cash,Sports and travel,870543162,a,yangon,Normal,female,3225,5,80625,1693125,20190127,1326,16125,80625,90,1,13,0047619047619047616,yes,medium,positive,69.16265060240964,3.10603461E8,902917.0377906977,344
Ewallet,Home and lifestyle,448348700,b,mandalay,Member,male,3691,7,129185,2712885,20190210,1351,25837,129185,67,1,13,0047619045108082694,yes,medium,neutral,68.375,2.96273397E8,858763.4695652174,345
Cash,Sports and travel,354255821,b,mandalay,Member,female,6912,6,20736,435456,20190208,1303,41472,20736,56,6,13,004761904845335581,yes,medium,neutral,69.16265060240964,3.10603461E8,902917.0377906977,344
Ewallet,Fashion accessories,109282512,b,mandalay,Member,female,9761,6,29283,614943,20190107,1501,58566,29283,99,2,15,0047619049686825884,no,high,positive,70.29213483146067,2.96273397E8,858763.4695652174,345
Ewallet,Sports and travel,751690068,c,naypyitaw,Normal,male,9924,9,44658,937818,20190319,1909,89316,44658,90,3,19,004761904897492452,no,high,positive,69.16265060240964,2.96273397E8,858763.4695652174,345
Credit card,Food and beverages,866997614,c,naypyitaw,Normal,male,892,10,446,9366,20190211,1542,8920,446,44,2,15,004761904723115042,no,high,neutral,71.13218390804597,2.70194988E8,868794.1736334405,311
Ewallet,Home and lifestyle,706366154,a,yangon,Member,male,1936,9,8712,182952,20190118,1843,17424,8712,87,6,18,004761904811549547,yes,medium,positive,68.375,2.96273397E8,858763.4695652174,345
Ewallet,Home and lifestyle,826588051,b,mandalay,Normal,male,6219,4,12438,261198,20190106,1946,24876,12438,43,1,19,004761904692358957,no,medium,neutral,68.375,2.96273397E8,858763.4695652174,345
Cash,Home and lifestyle,347562442,a,yangon,Normal,male,6582,1,3291,69111,20190222,1533,6582,3291,41,6,15,00476190459762895,no,low,neutral,68.375,3.10603461E8,902917.0377906977,344
Cash,Electronic accessories,529563974,b,mandalay,Member,male,2551,4,5102,107142,20190309,1703,10204,5102,68,7,17,004761905058605816,yes,medium,neutral,69.24705882352941,3.10603461E8,902917.0377906977,344
Cash,Fashion accessories,163567055,c,naypyitaw,Member,male,4871,1,24355,511455,20190326,1920,4871,24355,41,3,19,004761904562122981,no,low,neutral,70.29213483146067,3.10603461E8,902917.0377906977,344
Cash,Home and lifestyle,704116354,a,yangon,Member,male,589,8,2356,49476,20190106,1123,4712,2356,89,1,11,0047619045599710245,no,medium,positive,68.375,3.10603461E8,902917.0377906977,344
Cash,Fashion accessories,173829529,b,mandalay,Normal,female,3795,10,18975,398475,20190126,1451,3795,18975,97,7,14,004761904784698193,no,medium,positive,70.29213483146067,3.10603461E8,902917.0377906977,344
Cash,Home and lifestyle,305183552,b,mandalay,Member,male,6038,10,3019,63399,20190212,1619,6038,3019,60,3,16,00476190491949201,no,high,neutral,68.375,3.10603461E8,902917.0377906977,344
Ewallet,Fashion accessories,605831050,b,mandalay,Normal,male,2718,2,2718,57078,20190315,1626,5436,2718,43,6,16,0047619047221231794,no,low,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Ewallet,Health and beauty,123191176,a,yangon,Member,male,5822,8,23288,489048,20190127,2033,46576,23288,84,1,20,004761904743332735,no,medium,positive,70.03289473684211,2.96273397E8,858763.4695652174,345
Credit card,Food and beverages,692925582,b,mandalay,Member,female,5484,3,8226,172746,20190220,1327,16452,8226,59,4,13,004761904604171227,yes,medium,neutral,71.13218390804597,2.70194988E8,868794.1736334405,311
Ewallet,Health and beauty,483711164,c,naypyitaw,Normal,female,813,6,2439,51219,20190308,1643,4878,2439,53,6,16,004761904620041586,no,high,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Credit card,Health and beauty,704204138,c,naypyitaw,Member,female,2967,7,103845,2180745,20190311,1858,20769,103845,81,2,18,0047619046994310694,yes,medium,positive,70.03289473684211,2.70194988E8,868794.1736334405,311
Credit card,Health and beauty,296117041,b,mandalay,Member,female,2707,1,13535,284235,20190112,2007,2707,13535,53,7,20,00476190478187638,no,low,neutral,70.03289473684211,2.70194988E8,868794.1736334405,311
Credit card,Fashion accessories,881417302,c,naypyitaw,Normal,female,6499,1,32495,682395,20190126,1006,6499,32495,45,7,10,004761904678717859,no,low,neutral,70.29213483146067,2.70194988E8,868794.1736334405,311
Cash,Home and lifestyle,220686701,a,yangon,Normal,female,7747,4,15494,325374,20190317,1636,30988,15494,42,1,16,0047619049991769725,no,medium,neutral,68.375,3.10603461E8,902917.0377906977,344
Cash,Electronic accessories,237446163,a,yangon,Normal,male,1056,8,4224,88704,20190124,1743,8448,4224,76,5,17,0047619046083162156,yes,low,positive,69.24705882352941,3.10603461E8,902917.0377906977,344
